theme_no,name,short_name,colour,goal,lead,partners
1,Governance of the Federation and Netherlands Research Portal,Governance,#EE7628,"A sustainable governance framework established for the Dutch federated research information ecosystem including parties maintaining Repository/CRIS systems, eDepot and OpenAIRE Graph.",TU Delft,"SURF (community management, legal advice, project assistance)"
2,Metadata Quality Improvement,Metadata Quality,#F6DA44,Repository/CRIS systems have adopted the updated metadata- and exchange-standards for high-quality research metadata that comply with international guidelines and meet national requirements.,Leiden,"WUR (tech lead), SURF (community management, legal advice, project assistance, architect), KB (WISH)"
3,Full Text Capture,Full Text Capture,#177ABF,"Comprehensive full-text availability in Dutch repository/CRIS systems for enhancing primarily preservation, and secondary text-mining, AI-usage and Taverne-mechanisms.",UvA,"WUR (tech lead), SURF (community management, legal advice, project assistance)"
4,KB National Library e-Depot Archiving,e-Depot Archiving,#17A95D,Comprehensive preservation achieved of Dutch scientific output in the KB e-Depot.,KB National Library,"WUR (tech lead), SURF (legal)"
5,Metadata Distribution & Discovery Optimization,Distribution & Discovery,#5C1B61,Increase the visibility of Dutch research content in major international indexes.,Leiden,WUR (tech lead)
6,NL Research Portal Update,NL Research Portal,#83201B,"Deliver a fully-functional, user-centered Netherlands Research Portal that serves as the primary discovery point for Dutch research outputs.",TU Delft,
